漁業種類,隻数,魚種（銘柄）,規格,本数,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,12,アキサケ（オス）,,"1,250","4,065",700,170,10,
,12,アキサケ（メス）,,"1,717","6,312","1,450","1,003",303,
,5,サバ類,,0,435,"1,000",86,15,
,1,マイワシ,,0,3,300,300,300,
,,カタクチイワシ,,,,,,,
,2,マアジ,,0,6,"1,500","1,033",800,
,5,クロマグロ,,0,101,"2,363","1,982","1,200",
,,サンマ,,,,,,,
,7,ブリ,,0,640,650,58,30,
,13,スルメイカ,,0,"86,531",100,58,53,
,2,ヤリイカ,,0,31,"1,000",621,500,
磯建網,,アキサケ（オス）,,,,,,,
,,アキサケ（メス）,,,,,,,
さけ・ます延縄,,アキサケ（オス）,,,,,,,
,,アキサケ（メス）,,,,,,,
突き棒,,マカジキ,,,,,,,
,,メカジキ,,,,,,,
さんま棒受網,,サンマ,,,,,,,
いか釣,26,スルメイカ,,"1,084","5,634",668,585,55,
,,アカイカ,,,,,,,
,16,ヤリイカ,,202,"1,024","1,644",876,222,
船凍いか,,アカイカ,,,,,,,
底刺網,1,ヒラメ,,0,4,"1,500","1,500","1,500",
,,マコガレイ・マガレイ,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,,アイナメ,,,,,,,
,,アンコウ類,,,,,,,
,,ケガニ,,,,,,,
,,タコ類,,,,,,,
,,アナゴ類,,,,,,,
小延縄,,マコガレイ・マガレイ,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,,,
,2,アイナメ,,0,43,"1,100",731,500,
かご,,タコ類,,,,,,,
,,アナゴ類,,,,,,,
たら延縄,1,マダラ,,15,117,833,679,500,
,,スケトウダラ,,,,,,,
,1,エゾイソアイナメ（ドンコ）,,2,12,500,458,417,
沖合底びき網,,マダラ,,,,,,,
小型機船底びき網,,スケトウダラ,,,,,,,
,,スルメイカ,,,,,,,
,,ヤリイカ,,,,,,,
,,タコ類,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,キチジ,,,,,,,
その他,,ヒラメ,,,,,,,
,,マコガレイ・マガレイ,,,,,,,
,,アイナメ,,,,,,,
,,タコ類,,,,,,,
,,アナゴ類,,,,,,,
